"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Scenarios","Check HILO sorting","Scenarios","0","0","2","0","0"
"Login page tests","Check login with problem user","Login page tests","0","0","2","0","0"
"Scenarios","Check ZA sorting","Scenarios","0","0","2","0","0"
"Login page tests","Check login with performance user","Login page tests","0","0","2","0","0"
"Login page tests","Check login with locked user","Login page tests","0","0","2","0","0"
"Login page tests","Check login with standard user","Login page tests","0","0","2","0","0"
"Login page tests","Check login with error user","Login page tests","0","0","2","0","0"
"Scenarios","Check AZ sorting","Scenarios","0","0","2","0","0"
"Scenarios","Check hamburger button","Scenarios","0","0","2","0","0"
"Scenarios","Check add to cart scenario and checkout","Scenarios","0","0","2","0","0"
"Scenarios","Check LOHI sorting","Scenarios","0","0","2","0","0"
"Scenarios","Check add to cart scenario and go back","Scenarios","0","0","2","0","0"
"Login page tests","Check login with visual user","Login page tests","0","0","2","0","0"
